"VIVIENDA_REF_ID";"RADIO_REF_ID";"TIPVV";"V01";"V02";"V00";"URP";"INCALSERV";"INMAT";"MUNI";"LOCAL";"INCALCONS";"TOTHOG"
17831;61;1;4;1;0;1;1;1;20010001;2001010;1;1
32505;88;1;4;1;0;1;1;1;20010001;2001010;1;1
99783;236;1;1;1;0;1;1;1;20010001;2001010;1;1
8879;45;1;4;1;0;1;1;1;20010001;2001010;1;1
78302;181;1;4;1;0;1;1;1;20010001;2001010;1;1
12649;51;1;4;1;0;1;1;2;20010001;2001010;2;2
87383;204;1;4;1;0;1;1;1;20010001;2001010;1;1
50584;121;1;4;1;0;1;1;1;20010001;2001010;1;1
4089;27;1;1;1;0;1;1;2;20010001;2001010;2;1
4494;29;1;1;1;0;1;1;2;20010001;2001010;3;1
91055;214;1;4;1;0;1;1;3;20010001;2001010;2;1
58043;133;1;4;1;0;1;1;1;20010001;2001010;1;1
131148;329;1;4;1;0;1;1;1;20010001;2001010;1;1
108284;259;1;4;1;0;1;1;1;20010001;2001010;1;1
23444;72;1;4;1;0;1;1;1;20010001;2001010;1;1
94329;221;1;4;1;0;1;1;2;20010001;2001010;2;1
20253;66;1;4;1;0;1;1;1;20010001;2001010;1;1
110438;264;1;4;1;0;1;1;1;20010001;2001010;1;1
50624;121;1;4;1;0;1;1;1;20010001;2001010;1;1
48218;117;1;4;1;0;1;1;1;20010001;2001010;1;1
117247;285;1;4;1;0;1;1;1;20010001;2001010;1;1
51647;122;1;4;1;0;1;1;1;20010001;2001010;1;1
121831;300;1;4;1;0;1;1;1;20010001;2001010;1;1
4306;28;1;1;1;0;1;3;2;20010001;2001010;3;1
50371;120;1;4;1;0;1;1;1;20010001;2001010;1;1
24780;75;1;4;1;0;1;1;1;20010001;2001010;1;1
121496;299;1;4;1;0;1;1;1;20010001;2001010;1;1
23308;72;1;4;1;0;1;1;1;20010001;2001010;1;1
95538;224;1;4;1;0;1;1;2;20010001;2001010;2;1
37407;97;1;4;1;0;1;1;1;20010001;2001010;1;1
80987;188;1;4;1;0;1;1;1;20010001;2001010;1;1
100829;239;1;4;1;0;1;1;2;20010001;2001010;2;1
106482;254;1;4;1;0;1;1;1;20010001;2001010;1;1
90613;213;1;4;1;0;1;1;1;20010001;2001010;1;1
4193;28;1;1;1;0;1;3;2;20010001;2001010;2;1
6047;36;1;5;1;0;1;1;1;20010001;2001010;1;1
39160;100;1;4;1;0;1;1;1;20010001;2001010;1;1
127672;318;1;4;1;0;1;1;3;20010001;2001010;2;1
74063;171;1;4;1;0;1;1;2;20010001;2001010;3;1
12961;51;1;4;1;0;1;1;1;20010001;2001010;1;1
131215;329;1;4;1;0;1;1;1;20010001;2001010;1;1
40215;101;1;4;1;0;1;1;1;20010001;2001010;1;1
130370;327;1;1;1;0;1;1;1;20010001;2001010;1;1
85554;200;1;4;1;0;1;1;2;20010001;2001010;2;1
94663;222;1;4;1;0;1;1;1;20010001;2001010;1;1
37483;97;1;4;1;0;1;1;2;20010001;2001010;2;1
29162;83;1;4;1;0;1;1;2;20010001;2001010;2;1
91665;215;1;4;1;0;1;1;1;20010001;2001010;1;1
3620;25;1;1;1;0;1;1;3;20010001;2001010;2;1
101190;240;1;4;1;0;1;1;1;20010001;2001010;1;1
128131;320;1;4;1;0;1;1;2;20010001;2001010;2;1
83761;195;1;4;1;0;1;1;2;20010001;2001010;2;1
125390;311;1;4;1;0;1;1;1;20010001;2001010;1;1
126935;316;1;4;1;0;1;1;1;20010001;2001010;1;1
28286;83;1;4;1;0;1;1;1;20010001;2001010;1;1
10148;46;1;4;1;0;1;1;1;20010001;2001010;1;2
2849;20;1;1;1;0;1;1;2;20010001;2001010;2;2
12415;50;1;4;1;0;1;1;1;20010001;2001010;1;1
1720;13;1;5;1;0;1;1;2;20010001;2001010;2;1
11818;49;1;4;1;0;1;1;1;20010001;2001010;1;1
9636;45;1;4;1;0;1;1;1;20010001;2001010;1;1
2846;20;1;1;1;0;1;1;2;20010001;2001010;3;1
129703;325;1;4;1;0;1;1;1;20010001;2001010;1;1
96023;225;1;6;1;0;1;1;2;20010001;2001010;2;1
69809;160;1;4;1;0;1;1;1;20010001;2001010;1;1
13873;54;1;4;1;0;1;1;1;20010001;2001010;1;2
3291;23;1;3;1;0;1;2;2;20010001;2001010;3;1
113758;275;1;4;1;0;1;1;1;20010001;2001010;1;1
28941;83;1;4;1;0;1;1;1;20010001;2001010;1;1
128960;322;1;6;1;0;1;1;2;20010001;2001010;2;1
114818;278;1;4;1;0;1;1;1;20010001;2001010;1;1
96624;227;1;4;1;0;1;1;1;20010001;2001010;1;1
102276;243;1;6;1;0;1;1;1;20010001;2001010;1;1
119071;291;1;4;1;0;1;1;2;20010001;2001010;2;1
92206;217;1;4;1;0;1;1;1;20010001;2001010;1;1
124674;309;1;6;1;0;1;3;1;20010001;2001010;3;1
28288;83;1;4;1;0;1;1;1;20010001;2001010;1;1
90435;212;1;4;1;0;1;1;1;20010001;2001010;1;1
43469;108;1;4;1;0;1;1;1;20010001;2001010;1;1
111630;268;1;4;1;0;1;1;1;20010001;2001010;1;1
91770;215;1;4;1;0;1;1;1;20010001;2001010;1;1
130826;328;1;4;1;0;1;1;1;20010001;2001010;1;1
2447;17;1;1;1;0;1;1;2;20010001;2001010;2;2
84026;195;1;4;1;0;1;1;1;20010001;2001010;1;1
99604;235;1;4;1;0;1;1;1;20010001;2001010;1;1
14677;55;1;4;1;0;1;1;1;20010001;2001010;1;1
89132;209;1;5;1;0;1;1;1;20010001;2001010;3;1
27413;80;1;4;1;0;1;1;2;20010001;2001010;2;1
39100;100;1;4;1;0;1;1;1;20010001;2001010;1;1
4908;30;1;1;1;0;1;1;2;20010001;2001010;3;1
89701;210;1;4;1;0;1;1;2;20010001;2001010;2;1
11502;49;1;4;1;0;1;1;1;20010001;2001010;1;2
