"ambientes";"property.surface_covered";"property.price";"property.surface_total";"year";"gimnasio";"cochera";"pileta";"precioM2";"precioM2Vecino";"X";"Y"
3;250;350000;960;2015;0;1;1;1400;1666.66666666667;2233047.07558535;6507301.0783142
3;375;380000;1350;2015;0;0;1;1013.33333333333;990;2246507.86995913;6490629.6284656
3;182;210000;193;2016;0;1;1;1153.84615384615;1735.84905660377;2245788.42058718;6498315.19058977
3;400;248000;350;2016;0;1;0;620;1111.11111111111;2244392.13929038;6501739.927388
2;55;120000;80;2016;0;1;0;2181.81818181818;1857.14285714286;2243617.56549103;6497197.97016887
3;143;135000;180;2016;0;1;0;944.055944055944;957.142857142857;2244685.02581341;6502171.46866145
4;178;170000;178;2016;0;0;0;955.056179775281;1285.71428571429;2244174.64168485;6498450.45268891
2;60;1300000;60;2016;0;0;0;21666.6666666667;1225;2241815.11275763;6499087.35862394
3;250;345000;250;2016;0;1;0;1380;1893.93939393939;2244183.07556459;6497153.9239465
2;125;120000;150;2016;0;1;0;960;739.009420496717;2246143.44513402;6502015.31498256
2;85;95000;70;2016;0;0;1;1117.64705882353;1654.54545454545;2245270.76933764;6498537.82099375
3;95;115000;180;2015;0;1;0;1210.52631578947;1207.8335832084;2237540.16971678;6501701.9448367
1;185;165000;400;2015;0;1;1;891.891891891892;1142.85714285714;2237413.71007068;6506554.32725306
1;456;330000;456;2015;0;1;1;723.684210526316;1000;2244994.28592766;6495343.06257547
2;80;135000;96;2016;0;1;0;1687.5;1309.20634920635;2244002.79914869;6500833.26619708
3;145;125000;300;2016;0;1;1;862.068965517241;946.60918587299;2243549.65758345;6493837.96772365
1;43;67500;50;2016;0;0;0;1569.76744186047;1857.14285714286;2243626.13977246;6497112.55608866
2;150;2e+05;150;2016;0;1;0;1333.33333333333;1900;2243957.04285248;6496649.206205
3;10;130000;10;2015;0;0;1;13000;1333.33333333333;2238553.94090171;6500922.14523147
3;120;95000;660;2016;0;0;0;791.666666666667;882.352941176471;2237163.16882269;6507782.28396801
4;170;250000;280;2016;0;1;1;1470.58823529412;1600;2245942.00729159;6497786.22653249
5;345;180000;500;2016;0;1;1;521.739130434783;1636.36363636364;2245391.44621758;6499409.650373
3;480;5e+05;480;2016;0;0;1;1041.66666666667;1333.33333333333;2232758.55754976;6506490.76188358
2;60;87000;82;2016;0;0;0;1450;1246.42142857143;2244293.75092951;6499057.03184768
